family,metric,label,higher_is_better,reference,n_paired,shipped__mean,shipped__ci_low,shipped__ci_high,shipped__se,shipped__n,shipped__diff_vs_ref,shipped__diff_ci_low,shipped__diff_ci_high,shipped__p,baseline__mean,baseline__ci_low,baseline__ci_high,baseline__se,baseline__n,baseline__diff_vs_ref,baseline__diff_ci_low,baseline__diff_ci_high,baseline__p,agentic-noval__mean,agentic-noval__ci_low,agentic-noval__ci_high,agentic-noval__se,agentic-noval__n,agentic-noval__diff_vs_ref,agentic-noval__diff_ci_low,agentic-noval__diff_ci_high,agentic-noval__p,agentic__mean,agentic__ci_low,agentic__ci_high,agentic__se,agentic__n,agentic__diff_vs_ref,agentic__diff_ci_low,agentic__diff_ci_high,agentic__p,shipped__q,agentic-noval__q,agentic__q
grounding,generic_criterion_rate,Generic criterion rate,False,baseline,198,0.1897807439474106,0.1650963504088504,0.21580322069905408,0.013039046484006807,198,0.0091989520019823,-0.017364495423207546,0.03568794456105062,0.49965003499650035,0.1805817919454283,0.15257738824026704,0.21005303759091634,0.01461160297304363,198,,,,,0.0775412858746192,0.05535619087702422,0.10238957030623695,0.012092717921178235,198,-0.10304050607080908,-0.12928028481058784,-0.07794387325637325,9.999000099990002e-05,0.07978595478595478,0.05652341871091871,0.10518338143338142,0.012451564035800382,198,-0.1007958371594735,-0.12613455077470231,-0.07507992533560714,9.999000099990002e-05,0.5557222055572221,0.0003333000033330001,0.0001304217404346522
grounding,generic_rate_permuted,…permutation control,,baseline,198,0.9805054513387848,0.9719074675324675,0.9881514550264551,0.0040942789934277895,198,0.01033750200416867,-0.00022055876222543022,0.021044171877505208,0.06319368063193681,0.970167949334616,0.9575815195606863,0.9814814814814814,0.006097696884452318,198,,,,,0.9627284752284752,0.9464523208273209,0.9767618646785313,0.0077491925372945485,198,-0.007439474106140773,-0.019428561407728074,0.003184674122174122,0.2156784321567843,0.9577421035754369,0.9395039181497514,0.973826308722142,0.00872428773781433,198,-0.01242584575917909,-0.026545464566297895,0.00012025012025012095,0.07079292070792921,0.09479052094790522,0.23964270239642702,0.07692087934063738
grounding,weight_mass_on_generic_paper,Reward mass on generic criteria,False,baseline,198,0.1539483538013697,0.1299951150027895,0.17916679681723383,0.01255056791531819,198,-0.010056202605813951,-0.03537578557959989,0.014974121005672832,0.43345665433456654,0.16400455640718364,0.1370138733234536,0.19343371575683796,0.014357392279016551,198,,,,,0.07648442254888446,0.05463601979371009,0.1009646040005795,0.01193808220596708,198,-0.08752013385829918,-0.11290714281302744,-0.06339032728864953,9.999000099990002e-05,0.07664505616652936,0.05376504476896068,0.10165873542335178,0.012220339960213489,198,-0.08735950024065431,-0.11239490159348386,-0.06214223846969333,9.999000099990002e-05,0.5201479852014799,0.0003333000033330001,0.0001304217404346522
grounding,mean_anchors_per_criterion,Anchors per criterion,True,baseline,198,2.190346830498346,2.042350798752314,2.3450640696284633,0.0770240001677051,198,-0.1211816942877549,-0.23540352569708628,-0.007695652411561564,0.043495650434956505,2.3115285247861004,2.1626350764134856,2.461495269250951,0.07671923124457987,198,,,,,2.910002259244683,2.726464983529377,3.090956744574169,0.09372659621358674,198,0.5984737344585829,0.48757178567784626,0.7157456828384856,9.999000099990002e-05,2.9069342414039387,2.7272392075517073,3.0911059868162147,0.0926306873709369,198,0.5954057166178378,0.4747239986444531,0.719950843208419,9.999000099990002e-05,0.0724927507249275,0.0003333000033330001,0.0001304217404346522
grounding,weak_grounding_rate,Weakly grounded (<2 anchors),False,baseline,198,0.4215834390076814,0.3881726536650779,0.4560884958896322,0.017328454284430445,198,0.04041169268441997,0.00743460033232761,0.07352084153220513,0.0178982101789821,0.38117174632326145,0.3436340269578906,0.41973246625708743,0.01930862149202152,198,,,,,0.2569324194324194,0.2193782066698733,0.2955510461760461,0.019426379709640788,198,-0.12423932689084205,-0.1553759638229335,-0.09315340909090912,9.999000099990002e-05,0.25675204425204423,0.22028980278980276,0.294787207391374,0.019017668558247065,198,-0.12441970207121725,-0.15768988131677525,-0.0918641774891775,9.999000099990002e-05,0.0357964203579642,0.0003333000033330001,0.0001304217404346522
grounding,recyclable_rate,Recyclable criterion rate,False,baseline,198,0.0029661696328362993,0.0005611672278338944,0.006212922879589546,0.001488423201047536,198,-0.003106461439794773,-0.008255170755170757,0.0018278519320185976,0.23377662233776622,0.006072631072631072,0.002362914862914863,0.010389911014911008,0.0020463060978168236,198,,,,,0.0,0.0,0.0,0.0,198,-0.006072631072631072,-0.010413660413660415,-0.002362914862914863,0.004299570042995701,0.0,0.0,0.0,0.0,198,-0.006072631072631072,-0.010413660413660415,-0.002362914862914863,0.004299570042995701,0.29222077792220774,0.0071659500716595,0.005374462553744626
grounding,subjective_or_style_rate,Subjective/style criterion rate,False,baseline,198,0.30761602314632613,0.278827096724824,0.3371946421283542,0.01476619752398994,198,0.1384822248458612,0.10776947414258019,0.17009515246257667,9.999000099990002e-05,0.16913379830046496,0.14257220017636682,0.19708398468815136,0.013908746310397619,198,,,,,0.07716268019298322,0.05753139256927137,0.09840915467809404,0.010417112307354204,198,-0.09197111810748174,-0.11625786180710423,-0.06790240973953095,9.999000099990002e-05,0.07313430116460419,0.051767913623974225,0.096148470637107,0.011283803484394492,198,-0.09599949713586077,-0.12172177675018583,-0.0709404698135759,9.999000099990002e-05,0.0005999400059994002,0.0003333000033330001,0.0001304217404346522
grounding,weight_mass_on_subjective,Reward mass on subjective criteria,False,baseline,198,0.30616274032727236,0.2759435957498709,0.3369764106897626,0.015483522086597857,198,0.14830317833384804,0.11756084960031776,0.17943326271040005,9.999000099990002e-05,0.1578595619934243,0.13081919537687778,0.18662371063111782,0.014335726669431259,198,,,,,0.07506689627068848,0.05538556610742395,0.09664876965124063,0.010515696570011767,198,-0.08279266572273583,-0.10778387265951163,-0.05855821037655904,9.999000099990002e-05,0.07419964543992427,0.05178275111976023,0.09863406680793982,0.011850532567402924,198,-0.08365991655350002,-0.11023731422707322,-0.057657041849329405,9.999000099990002e-05,0.0005999400059994002,0.0003333000033330001,0.0001304217404346522
grounding,specificity_lift,Specificity lift vs permuted,True,baseline,198,0.790724707391374,0.7620608365400032,0.8181077641494309,0.014225728775798044,198,0.0011385500021863664,-0.02711914873846692,0.029724385813400953,0.938906109389061,0.7895861573891876,0.7568516195504833,0.8201098739924498,0.016206324368704235,198,,,,,0.8851871893538559,0.8556053591470258,0.91244227994228,0.014595750215388977,198,0.09560103196466832,0.06880509186380397,0.12393639224131649,9.999000099990002e-05,0.8779561487894821,0.8463409892576559,0.9068786576078244,0.01536015862649675,198,0.08836999140029442,0.059403545738773,0.11663285543020391,9.999000099990002e-05,0.938906109389061,0.0003333000033330001,0.0001304217404346522
coverage,claim_recall,Gold-claim recall,True,baseline,197,0.963944363834013,0.9513845980155846,0.9756108677272604,0.006234863900449277,197,0.015826402981231807,-7.3049139346507e-05,0.032241426693197656,0.0560943905609439,0.9481179608527811,0.9325838911467369,0.9624689880420865,0.007722801219410163,197,,,,,0.9131855501204885,0.8913875230411478,0.9333596324100628,0.010766535249540595,197,-0.034932410732292585,-0.05637421850295258,-0.01393096606589116,0.0013998600139986002,0.9053020470714915,0.8835991579227472,0.9254231420120897,0.01077376371011877,197,-0.04281591378128956,-0.06292235590375772,-0.023083825866153818,9.999000099990002e-05,0.08857009035938511,0.0029997000299970002,0.0001304217404346522
